tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 sortedset.py:269(__make_cmp)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(_get_parent_path)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       42    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
      317    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:517(list2cmdline)
      240    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 enum.py:171(<setcomp>)
        2    0.000    0.000    0.000    0.000 enum.py:451(<listcomp>)
        6    0.000    0.000    0.000    0.000 interval.py:598(__repr__)
       12    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      405    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 NetDiffLocalRule.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       58    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        3    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      341    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
     28/8    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
       91    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      118    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      123    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        3    0.000    0.000    0.000    0.000 enum.py:119(__prepare__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method now}
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
      100    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:191(Close)
       12    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      473    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      193    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 Label.py:1(<module>)
      341    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      147    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 functools.py:33(update_wrapper)
      183    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      177    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       32    0.000    0.000    0.000    0.000 enum.py:368(__setattr__)
