tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      944    0.001    0.000    0.001    0.000 NetDiffFact.py:15(getTimeLower)
      189    0.000    0.000    0.001    0.000 enum.py:822(__or__)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
        8    0.000    0.000    0.001    0.000 ir_generator.py:333(visit)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:14(getTargetCriteria)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 predicate_node.py:1(<module>)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      894    0.000    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:23(getNeighEdges)
        1    0.000    0.000    0.001    0.001 thereexists_node.py:1(<module>)
       59    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
       13    0.001    0.000    0.001    0.000 {method 'close' of 'mariadb.connection' objects}
        1    0.000    0.000    0.001    0.001 forall_node.py:1(<module>)
       14    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      472    0.000    0.000    0.001    0.000 random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.001    0.001 not_node.py:1(<module>)
      327    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        8    0.000    0.000    0.001    0.000 lex.py:594(validate_tokens)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 or_constraint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constraint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 EnhancedTipping.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lexer_exceptions.py:1(<module>)
